year,month,day,P(mm/d),E(mm/d),Q(mm/d),T(°C)
2004,12,1,0.00E+00,6.86E-01,1.69E-01,2.70E+00
2004,12,2,4.26E+00,6.52E-01,2.32E-01,2.88E+00
2004,12,3,9.10E-01,6.55E-01,3.05E-01,3.09E+00
2004,12,4,9.90E-03,6.34E-01,2.73E-01,2.64E+00
2004,12,5,6.70E-02,4.88E-01,2.12E-01,-9.06E-01
2004,12,6,0.00E+00,4.63E-01,1.76E-01,-1.32E+00
2004,12,7,0.00E+00,6.28E-01,1.69E-01,2.44E+00
2004,12,8,0.00E+00,6.09E-01,1.59E-01,1.92E+00
2004,12,9,0.00E+00,6.53E-01,1.50E-01,3.24E+00
2004,12,10,0.00E+00,5.38E-01,1.45E-01,1.19E-01
2004,12,11,3.30E-02,4.23E-01,1.21E-01,-2.88E+00
2004,12,12,0.00E+00,3.87E-01,1.12E-01,-3.68E+00
2004,12,13,0.00E+00,3.94E-01,1.12E-01,-3.59E+00
2004,12,14,0.00E+00,3.86E-01,9.74E-02,-3.77E+00
2004,12,15,0.00E+00,3.64E-01,9.37E-02,-4.37E+00
2004,12,16,0.00E+00,3.93E-01,9.37E-02,-3.52E+00
2004,12,17,3.07E+00,4.90E-01,1.12E-01,-5.65E-01
2004,12,18,1.32E+01,6.69E-01,1.94E+00,3.80E+00
2004,12,19,2.26E+00,6.11E-01,2.97E+00,2.40E+00
2004,12,20,5.08E+00,5.50E-01,3.38E+00,5.77E-01
2004,12,21,9.90E-03,3.89E-01,6.01E-01,-4.42E+00
2004,12,22,2.97E-02,3.10E-01,2.48E-01,-6.68E+00
2004,12,23,1.23E+00,4.28E-01,1.91E-01,-2.27E+00
2004,12,24,2.09E+00,6.58E-01,3.44E-01,4.12E+00
2004,12,25,3.30E+00,8.28E-01,1.88E+00,7.13E+00
2004,12,26,3.46E+00,6.94E-01,3.69E+00,3.97E+00
2004,12,27,0.00E+00,5.53E-01,1.02E+00,8.06E-01
2004,12,28,1.65E-02,4.75E-01,4.04E-01,-2.06E+00
2004,12,29,4.08E+00,4.64E-01,2.87E-01,-1.31E+00
2004,12,30,1.39E+00,5.44E-01,2.50E-01,6.62E-01
2004,12,31,2.56E-01,5.55E-01,3.81E-01,1.22E+00
2005,1,1,8.97E-01,6.89E-01,1.32E+00,4.45E+00
2005,1,2,1.39E+00,8.10E-01,1.33E+00,6.64E+00
2005,1,3,2.14E+00,6.93E-01,1.54E+00,4.12E+00
2005,1,4,4.09E-01,6.13E-01,5.93E-01,2.78E+00
2005,1,5,0.00E+00,6.39E-01,4.64E-01,2.94E+00
2005,1,6,4.34E+00,6.91E-01,6.67E-01,4.16E+00
2005,1,7,8.62E-01,7.89E-01,1.37E+00,5.83E+00
2005,1,8,0.00E+00,9.15E-01,6.69E-01,7.95E+00
2005,1,9,2.12E+00,8.23E-01,6.14E-01,6.33E+00
2005,1,10,0.00E+00,7.60E-01,5.52E-01,5.39E+00
2005,1,11,9.54E-01,9.43E-01,4.63E-01,7.87E+00
2005,1,12,2.19E+00,8.73E-01,5.86E-01,7.07E+00
2005,1,13,3.02E+00,8.35E-01,9.05E-01,6.26E+00
2005,1,14,1.00E-01,6.12E-01,6.77E-01,1.96E+00
2005,1,15,2.31E-02,4.82E-01,4.24E-01,-1.07E+00
2005,1,16,0.00E+00,4.51E-01,3.61E-01,-2.62E+00
2005,1,17,3.30E-02,3.95E-01,2.85E-01,-4.24E+00
2005,1,18,2.95E+00,5.19E-01,2.64E-01,-1.31E-01
2005,1,19,1.50E+01,7.06E-01,7.64E+00,3.40E+00
